Operation,OrganizationName,MailboxOwnerSid,ClientIP,MailboxGuid,CrossMailboxOperation,MailboxOwnerMasterAccountSid,UserType,ClientIPAddress,Folder,LogonUserSid,ResultStatus,InternalLogonType,ModifiedProperties,OrganizationId,DestFolder,MailboxOwnerUPN,UserKey,AffectedItems,UserId,CreationTime,Item,ClientInfoString,ClientProcessName,ClientVersion,Version,RecordType,Workload,ExternalAccess,OriginatingServer,LogonType,SessionId,Id
Create,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,0,*REDACTED*,,*REDACTED*,Succeeded,0,,*REDACTED*,,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T11:41:15,*REDACTED*,*REDACTED*,,,1,2,Exchange,False,*REDACTED*,0,,*REDACTED*
Move,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:41:41,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Move,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:41:42,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:42:04,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:42:05,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Update,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,0,*REDACTED*,,*REDACTED*,Succeeded,0,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T11:43:58,*REDACTED*,*REDACTED*,,,1,2,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:44:00,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Update,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,0,*REDACTED*,,*REDACTED*,Succeeded,0,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T11:44:01,*REDACTED*,*REDACTED*,,,1,2,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Update,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,0,*REDACTED*,,*REDACTED*,Succeeded,0,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T11:44:02,*REDACTED*,*REDACTED*,,,1,2,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Update,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,0,*REDACTED*,,*REDACTED*,Succeeded,0,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T11:44:03,*REDACTED*,*REDACTED*,,,1,2,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:44:49,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:46:53,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Move,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:10,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:41,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:41,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
Move,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:41,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:42,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:43,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:43,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:44,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:44,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:47:45,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:26,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:26,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:27,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:27,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:28,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:28,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:29,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:30,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:30,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:31,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:31,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:31,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:32,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:33,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:33,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:34,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
MoveToDeletedItems,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,False,,0,*REDACTED*,*REDACTED*,*REDACTED*,Succeeded,0,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:48:34,,*REDACTED*,,,1,3,Exchange,False,*REDACTED*,0,*REDACTED*,*REDACTED*
