Operation,SiteUrl,MachineId,TargetUserOrGroupType,MachineDomainInfo,Site,WebId,UserAgent,ClientIP,ListId,DestinationFileExtension,EventSource,UserType,ObjectId,DestinationFileName,ModifiedProperties,SourceRelativeUrl,OrganizationId,FileSyncBytesCommitted,SourceFileExtension,SourceFileName,UserKey,DestinationRelativeUrl,UserId,CreationTime,TargetUserOrGroupName,EventData,Version,ListItemUniqueId,RecordType,CorrelationId,ItemType,Workload,ImplicitShare,UniqueSharingId,Id,CustomUniqueId
FileSyncUploadedFull,*REDACTED*,*REDACTED*,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:16:23,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,No,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:16:26,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncUploadedFull,*REDACTED*,*REDACTED*,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:16:50,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,No,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:16:52,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncUploadedFull,*REDACTED*,*REDACTED*,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22926,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:21:00,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,No,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22926,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:21:02,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncUploadedFull,*REDACTED*,*REDACTED*,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:22:32,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,No,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:22:34,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncUploadedFull,*REDACTED*,*REDACTED*,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:57:53,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,No,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,22942,kdbx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-25T12:57:56,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:27:31,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModified,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:27:53,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18654,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:27:55,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,aspx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:27:56,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:28:12,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18738,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T13:28:14,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:16,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModified,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:17,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18708,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:20,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,aspx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:22,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:48,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18763,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:14:51,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:15:21,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18770,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:15:24,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:17:24,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18784,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:17:26,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:17:54,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18804,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:17:57,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18804,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:17:57,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:18:34,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18795,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:18:37,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileAccessedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:18,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileModified,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T14:22:19,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
