Operation,Parameters,Query,ObjectType,NonPIIParameters,UserServicePlan,UserType,ObjectId,SecurityComplianceCenterEventType,ResultStatus,SharepointLocations,Case,OrganizationId,ClientApplication,PublicFolderLocations,UserKey,UserId,CreationTime,CmdletVersion,Version,RecordType,ExtendedProperties,Workload,ExchangeLocations,Id,StartTime,EffectiveOrganization
Get-ComplianceSearch,*REDACTED*,,,"-ResultSize ""2000""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:42,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:42,*REDACTED*
Get-ComplianceSearch,*REDACTED*,,,"-ResultSize ""2000""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:42,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:42,*REDACTED*
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:46,*REDACTED*
Get-ComplianceSearch,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:46,*REDACTED*
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:46,*REDACTED*
Get-ComplianceSearch,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:46,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:46,*REDACTED*
ViewedSearchReport,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchExported,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Error,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:47,*REDACTED*
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:47,*REDACTED*
ViewedSearchReport,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
ViewedSearchExported,*REDACTED*,*REDACTED*,SearchAction,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Error,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:47,*REDACTED*
Get-ComplianceSearchAction,*REDACTED*,,,"-Identity ""<SNIP-PII>""",,2,*REDACTED*,0,Success,,,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,2019-12-02T20:24:47,...,1,18,,SecurityComplianceCenter,,*REDACTED*,2019-12-02T20:24:47,*REDACTED*
SearchCreated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:00,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchCreated,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:00,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
SearchViewed,*REDACTED*,*REDACTED*,Search,,,0,*REDACTED*,,,,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-12-02T20:26:02,,1,24,*REDACTED*,SecurityComplianceCenter,*REDACTED*,*REDACTED*,,
