Operation,SiteUrl,TargetUserOrGroupType,Site,WebId,UserAgent,ClientIP,ListId,EventSource,UserType,ObjectId,SourceRelativeUrl,OrganizationId,SourceFileExtension,SourceFileName,UserKey,UserId,CreationTime,TargetUserOrGroupName,EventData,Version,ListItemUniqueId,RecordType,CorrelationId,ItemType,Workload,Id,ApplicationId,CustomUniqueId
PageViewed,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:31,,,1,*REDACTED*,4,*REDACTED*,Page,SharePoint,*REDACTED*,,False
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:32,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:32,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FilePreviewed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,jpg,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FilePreviewed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,jpg,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FilePreviewed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,jpg,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
PageViewed,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,4,*REDACTED*,Page,SharePoint,*REDACTED*,,False
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FilePreviewed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,jpg,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FilePreviewed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,jpg,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T11:53:33,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,,
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T11:53:35,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
FileAccessed,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,*REDACTED*,*REDACTED*,aspx,*REDACTED*,*REDACTED*,*REDACTED*,2019-11-25T12:02:35,,,1,*REDACTED*,6,*REDACTED*,File,SharePoint,*REDACTED*,*REDACTED*,
PageViewed,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T12:36:10,,,1,*REDACTED*,4,*REDACTED*,Page,SharePoint,*REDACTED*,,False
SearchQueryPerformed,,,,,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,*REDACTED*,,,*REDACTED*,*REDACTED*,2019-11-25T12:36:12,,*REDACTED*,1,,4,*REDACTED*,Web,SharePoint,*REDACTED*,,
