SessionId,UniqueSharingId,ObjectType,Folder,AffectedItems,Case,ClientProcessName,DestinationFileExtension,LogonUserSid,MailboxOwnerMasterAccountSid,ItemType,TargetUserOrGroupType,ClientVersion,CorrelationId,EventData,Version,ExtendedProperties,SecurityComplianceCenterEventType,ImplicitShare,DestinationRelativeUrl,PublicFolderLocations,MailboxOwnerSid,ClientIP,ApplicationId,UserAgent,MailboxOwnerUPN,SourceRelativeUrl,OriginatingServer,TargetContextId,CrossMailboxOperation,AzureActiveDirectoryEventType,RecordType,Id,MailboxGuid,UserId,Site,WebId,InternalLogonType,MachineDomainInfo,Operation,FileSyncBytesCommitted,ClientIPAddress,ListId,ObjectId,EventSource,CmdletVersion,OrganizationId,ActorContextId,ListItemUniqueId,SourceFileName,ResultStatus,MachineId,SupportTicketId,Item,CreationTime,SiteUrl,ExchangeLocations,TargetUserOrGroupName,DestinationFileName,Target,InterSystemsId,Actor,EffectiveOrganization,SharepointLocations,DestFolder,ExternalAccess,ModifiedProperties,CustomUniqueId,UserType,StartTime,NonPIIParameters,ClientApplication,Query,Parameters,ActorIpAddress,SourceFileExtension,UserServicePlan,LogonType,IntraSystemId,OrganizationName,Workload,ClientInfoString,UserKey
,,,,,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,,,2,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Create,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,*REDACTED*,2019-11-25T11:41:15,,,,,,,,,,,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Move,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:41:41,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Move,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:41:42,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:42:04,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:42:05,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,,,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,,,2,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Update,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,*REDACTED*,2019-11-25T11:43:58,,,,,,,,,,,False,*REDACTED*,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:44:00,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,,,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,,,2,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Update,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,*REDACTED*,2019-11-25T11:44:01,,,,,,,,,,,False,*REDACTED*,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,,,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,,,2,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Update,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,*REDACTED*,2019-11-25T11:44:02,,,,,,,,,,,False,*REDACTED*,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,,,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,,,2,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Update,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,*REDACTED*,2019-11-25T11:44:03,,,,,,,,,,,False,*REDACTED*,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:44:49,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:46:53,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Move,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:10,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:41,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:41,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,Move,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:41,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:42,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:43,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:43,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:44,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:44,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:47:45,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:26,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:26,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:27,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:27,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:28,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:28,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:29,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:30,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:30,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:31,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:31,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:31,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:32,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:33,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:33,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:34,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:34,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:48:36,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:49:06,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
*REDACTED*,,,*REDACTED*,*REDACTED*,,,,*REDACTED*,,,,,,,1,,,,,,*REDACTED*,*REDACTED*,,,*REDACTED*,,*REDACTED*,,False,,3,*REDACTED*,*REDACTED*,*REDACTED*,,,0,,MoveToDeletedItems,,*REDACTED*,,,,,*REDACTED*,,,,Succeeded,,,,2019-11-25T11:49:06,,,,,,,,,,*REDACTED*,False,,,0,,,,,,,,,0,,*REDACTED*,Exchange,*REDACTED*,*REDACTED*
